OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_74999k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,Median_household_inc,Average_Per_capita_Inc,Aggregate_HH_Income,Average_Household_Income,GlobalID,last_edited_date
911,090300,13057090300,903,ARC 10,4272,674,15.8,1205,28.2,1923,45,470,11,83906,34514,420716000,98482,{B81EEBA1-45C2-48F7-AA5D-D611D1A8D561},
912,180206,13013180206,1802.06,ARC 20,1015,342,33.7,417,41.1,230,22.7,26,2.6,44010,31200,82191296,80977,{5D0E9918-30C4-478E-B265-2C4DEBEB82EA},
913,180205,13013180205,1802.05,ARC 20,1406,698,49.6,484,34.4,211,15,13,0.9,35284,15329,60960300,43357,{8A59CD6B-B94D-454A-BCA2-F49AEDCF4997},
914,180402,13013180402,1804.02,ARC 20,1862,598,32.1,698,37.5,559,30,7,0.4,48281,19866,111278600,59763,{6A776594-3CAF-40E1-B6BA-E77D4978903D},
915,180303,13013180303,1803.03,ARC 20,1304,310,23.8,620,47.5,365,28,9,0.7,53238,19097,79325600,60833,{07526DCD-FE8B-4BF3-9DDD-FBE35CB11773},
916,180106,13013180106,1801.06,ARC 20,962,314,32.6,297,30.9,346,36,5,0.5,52500,22898,60565800,62958,{6BF83DA2-1195-43BA-B340-AAB0E63B2E33},
917,180103,13013180103,1801.03,ARC 20,1452,259,17.8,405,27.9,654,45,134,9.2,79115,32366,147165600,101354,{9BE7CD46-B0E7-474F-9076-8FFE759A07AB},
918,180401,13013180401,1804.01,ARC 20,1905,435,22.8,1033,54.2,421,22.1,16,0.8,61483,24199,126623400,66469,{D207F16C-729F-4B2B-81E3-5550281CFACD},
919,180203,13013180203,1802.03,ARC 20,1035,502,48.5,335,32.4,198,19.1,0,0,35969,15095,46226900,44664,{EB8DFE87-F848-49ED-830B-B955037D6CB4},
920,180503,13013180503,1805.03,ARC 20,1787,504,28.2,591,33.1,674,37.7,18,1,61250,21822,115818400,64812,{517E8312-0B26-40DA-8A96-9B1703EAA510},
921,180502,13013180502,1805.02,ARC 20,1564,532,34,590,37.7,434,27.7,8,0.5,51196,20008,89527400,57243,{BBE814E8-7ECE-45F7-93CB-F8FDC7D8DAB8},
922,180204,13013180204,1802.04,ARC 20,804,384,47.8,287,35.7,133,16.5,0,0,39821,14991,35734100,44445,{30520637-DEAD-486B-9E93-2B86C584DD37},
923,180501,13013180501,1805.01,ARC 20,1768,456,25.8,811,45.9,491,27.8,10,0.6,55227,19970,110011296,62224,{94B82F42-1A7E-4B17-8B63-A787D800C942},
924,180301,13013180301,1803.01,ARC 20,698,143,20.5,294,42.1,255,36.5,6,0.9,64038,23642,49145300,70409,{A429082A-64EB-416B-88A5-BC286855DDAC},
