FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,TotPop_e,TotPop_m,Hisp_e,Hisp_m,pHisp_e,pHisp_m,Not_Hisp_e,Not_Hisp_m,pNot_Hisp_e,pNot_Hisp_m,NHWhite_e,NHWhite_m,pNHWhite_e,pNHWhite_m,NHBlack_e,NHBlack_m,pNHBlack_e,pNHBlack_m,NH_AmInd_e,NH_AmInd_m,pNH_AmInd_e,pNH_AmInd_m,NH_Asian_e,NH_Asian_m,pNH_Asian_e,pNH_Asian_m,NH_PacIsl_e,NH_PacIsl_m,pNH_PacIsl_e,pNH_PacIsl_m,NH_OthRace_e,NH_OthRace_m,pNH_OthRace_e,pNH_OthRace_m,NH_TwoRace_e,NH_TwoRace_m,pNH_TwoRace_e,pNH_TwoRace_m,NH_AsianPI_e,NH_AsianPI_m,pNH_AsianPI_e,pNH_AsianPI_m,NH_Other_e,NH_Other_m,pNH_Other_e,pNH_Other_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
1182,13121011426,Yes,Atlanta Regional Commission,2140,Tract,"Census Tract 114.26, Fulton County",2461,200,392,208,15.9,8.4,2069,218,84.1,5.6,1601,200,65.1,6.2,186,169,7.6,6.8,0,13,0,0.5,242,119,9.8,4.8,0,13,0,0.5,0,13,0,0.5,40,32,1.6,1.3,242,120,9.8,4.8,40,37,1.6,1.5,,,,,0.0677546045215926,0.000143560103609009
1183,13121011425,Yes,Atlanta Regional Commission,2139,Tract,"Census Tract 114.25, Fulton County",7369,422,387,380,5.3,5.1,6982,512,94.7,4.3,5068,515,68.8,5.8,137,129,1.9,1.7,0,18,0,0.2,1661,348,22.5,4.5,0,18,0,0.2,0,18,0,0.2,116,119,1.6,1.6,1661,348,22.5,4.5,116,122,1.6,1.6,,,,,0.191259256242595,0.00108889191223602
1184,13121011423,Yes,Atlanta Regional Commission,2137,Tract,"Census Tract 114.23, Fulton County",4936,325,131,74,2.7,1.5,4805,314,97.3,9,4111,327,83.3,3.7,255,150,5.2,3,0,13,0,0.3,124,66,2.5,1.3,10,17,0.2,0.3,83,134,1.7,2.7,222,149,4.5,3,134,68,2.7,1.4,305,201,6.2,4,,,,,0.123787352230965,0.000639133746503262
1185,13121011418,Yes,Atlanta Regional Commission,2132,Tract,"Census Tract 114.18, Fulton County",6435,455,251,195,3.9,3,6184,458,96.1,2.1,5798,462,90.1,3.3,358,227,5.6,3.5,0,18,0,0.3,25,32,0.4,0.5,0,18,0,0.3,0,18,0,0.3,3,5,0,0.1,25,37,0.4,0.6,3,26,0,0.4,,,,,0.18581211872856,0.00106078918810427
1186,13121002600,Yes,Atlanta Regional Commission,1986,Tract,"Census Tract 26, Fulton County",1777,237,133,124,7.5,6.9,1644,266,92.5,8.5,43,68,2.4,3.8,1538,288,86.6,11.4,0,13,0,0.7,21,33,1.2,1.9,0,13,0,0.7,34,32,1.9,1.8,8,15,0.5,0.8,21,35,1.2,2,42,38,2.4,2.1,,,,,0.0398201819675896,9.30223012396489e-05
1187,13121001700,Yes,Atlanta Regional Commission,1979,Tract,"Census Tract 17, Fulton County",4439,424,237,124,5.3,2.7,4202,443,94.7,4.2,1965,283,44.3,4.8,1942,343,43.7,6.5,0,13,0,0.3,173,108,3.9,2.4,0,13,0,0.3,11,17,0.2,0.4,111,114,2.5,2.6,173,109,3.9,2.4,122,116,2.7,2.6,,,,,0.043466442981955,0.000121441780050466
1188,13121001400,Yes,Atlanta Regional Commission,1976,Tract,"Census Tract 14, Fulton County",2281,257,68,40,3,1.7,2213,251,97,1.3,1955,277,85.7,7.4,71,65,3.1,2.8,0,13,0,0.6,79,35,3.5,1.5,0,13,0,0.6,9,14,0.4,0.6,99,62,4.3,2.7,79,37,3.5,1.6,108,65,4.7,2.8,,,,,0.0368573067326467,7.03699662893456e-05
1189,13121003000,Yes,Atlanta Regional Commission,1989,Tract,"Census Tract 30, Fulton County",3325,277,114,60,3.4,1.8,3211,271,96.6,1.3,2646,281,79.6,5.2,271,144,8.2,4.3,15,23,0.5,0.7,180,99,5.4,2.9,0,13,0,0.4,30,31,0.9,0.9,69,62,2.1,1.9,180,100,5.4,3,114,73,3.4,2.2,,,,,0.0511049063027953,0.000115332466429401
1190,13121011000,Yes,Atlanta Regional Commission,2117,Tract,"Census Tract 110, Fulton County",3375,426,655,215,19.4,5.9,2720,372,80.6,4.2,192,83,5.7,2.4,2528,370,74.9,5.5,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,18,0,0.5,0,23,0,0.7,,,,,0.0732492117451221,0.000277717726446626
1191,13121007400,Yes,Atlanta Regional Commission,2028,Tract,"Census Tract 74, Fulton County",3435,607,570,442,16.6,12.5,2865,660,83.4,12.3,202,86,5.9,2.3,2641,667,76.9,13.9,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,22,23,0.6,0.7,0,18,0,0.5,22,29,0.6,0.8,,,,,0.0703974995100195,0.000226117990131724
1192,13121006400,Yes,Atlanta Regional Commission,2015,Tract,"Census Tract 64, Fulton County",1075,202,308,166,28.7,14.5,767,209,71.3,14.1,238,119,22.1,10.3,522,170,48.6,12.9,0,13,0,1.2,0,13,0,1.2,0,13,0,1.2,0,13,0,1.2,7,10,0.7,0.9,0,18,0,1.7,7,21,0.7,1.9,,,,,0.0508776533467648,0.00012219714253999
1193,13121005300,Yes,Atlanta Regional Commission,2006,Tract,"Census Tract 53, Fulton County",3619,280,160,89,4.4,2.4,3459,286,95.6,2.8,2312,289,63.9,6.3,897,228,24.8,6,0,13,0,0.4,11,16,0.3,0.4,0,13,0,0.4,8,13,0.2,0.4,231,141,6.4,3.9,11,21,0.3,0.6,239,142,6.6,3.9,,,,,0.0694506111041057,0.000215509637171804
1194,13121005502,Yes,Atlanta Regional Commission,2008,Tract,"Census Tract 55.02, Fulton County",2523,380,8,14,0.3,0.6,2515,379,99.7,0.5,112,83,4.4,3.2,2403,409,95.2,7.6,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,18,0,0.7,0,23,0,0.9,,,,,0.0640893238948603,0.000165564315982102
1195,13121008202,Yes,Atlanta Regional Commission,2047,Tract,"Census Tract 82.02, Fulton County",2090,289,22,24,1.1,1.1,2068,284,98.9,19.3,67,59,3.2,2.8,2001,285,95.7,3.3,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,18,0,0.9,0,23,0,1.1,,,,,0.114394141178049,0.000684266003947116
1196,13121010513,Yes,Atlanta Regional Commission,2109,Tract,"Census Tract 105.13, Fulton County",13303,1293,1380,563,10.4,4.1,11923,1357,89.6,5.3,1448,534,10.9,3.9,10375,1295,78,6.1,0,20,0,0.2,0,20,0,0.2,0,20,0,0.2,71,116,0.5,0.9,29,47,0.2,0.4,0,28,0,0.2,100,127,0.8,0.9,,,,,0.293342230974792,0.00284143120648253
1197,13121010304,Yes,Atlanta Regional Commission,2102,Tract,"Census Tract 103.04, Fulton County",16085,1463,437,325,2.7,2,15648,1533,97.3,3.5,734,540,4.6,3.3,14790,1622,91.9,5.6,0,20,0,0.1,0,20,0,0.1,0,20,0,0.1,0,20,0,0.1,124,181,0.8,1.1,0,28,0,0.2,124,183,0.8,1.1,,,,,0.315592322870042,0.00384589574803209
1198,13121010303,Yes,Atlanta Regional Commission,2101,Tract,"Census Tract 103.03, Fulton County",10581,995,31,35,0.3,0.3,10550,993,99.7,0.4,17,26,0.2,0.2,10382,994,98.1,1.8,20,31,0.2,0.3,12,20,0.1,0.2,0,20,0,0.2,0,20,0,0.2,119,95,1.1,0.9,12,28,0.1,0.3,139,102,1.3,1,,,,,0.349341513586839,0.00340543489403947
1199,13121010514,Yes,Atlanta Regional Commission,2110,Tract,"Census Tract 105.14, Fulton County",13563,1673,540,334,4,2.4,13023,1675,96,3.5,1617,334,11.9,2,11310,1687,83.4,7,0,20,0,0.1,0,20,0,0.1,0,20,0,0.1,0,20,0,0.1,96,101,0.7,0.7,0,28,0,0.2,96,105,0.7,0.8,,,,,0.39163705236095,0.00462666825732915
1200,13121010301,Yes,Atlanta Regional Commission,2100,Tract,"Census Tract 103.01, Fulton County",17958,1610,324,423,1.8,2.3,17634,1613,98.2,1.8,1568,480,8.7,2.6,15754,1596,87.7,4.1,3,6,0,0,0,20,0,0.1,30,42,0.2,0.2,166,291,0.9,1.6,113,143,0.6,0.8,30,47,0.2,0.3,282,324,1.6,1.8,,,,,0.443489883064682,0.00842580456907407
1201,13121010400,Yes,Atlanta Regional Commission,2103,Tract,"Census Tract 104, Fulton County",8290,491,1118,455,13.5,5.4,7172,668,86.5,6.2,3196,425,38.6,4.6,3854,617,46.5,6.9,7,12,0.1,0.1,47,122,0.6,1.5,0,18,0,0.2,0,18,0,0.2,68,74,0.8,0.9,47,123,0.6,1.5,75,77,0.9,0.9,,,,,0.714867625233868,0.0179770314834893
1202,13153020900,No,Middle Georgia,2424,Tract,"Census Tract 209, Houston County",4408,350,10,18,0.2,0.4,4398,352,99.8,1,2382,337,54,6.3,1763,474,40,10.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,253,182,5.7,4.1,0,18,0,0.4,253,183,5.7,4.1,,,,,0.114747661923058,0.000491296870360222
1203,13153020800,No,Middle Georgia,2423,Tract,"Census Tract 208, Houston County",2366,277,110,86,4.6,3.6,2256,267,95.4,1.7,992,177,41.9,5.6,1062,227,44.9,8,23,34,1,1.4,54,57,2.3,2.4,0,13,0,0.5,6,11,0.3,0.5,119,95,5,4,54,58,2.3,2.5,148,101,6.3,4.2,,,,,0.0767213795639455,0.000231203229876908
1204,13153021103,No,Middle Georgia,2426,Tract,"Census Tract 211.03, Houston County",11491,788,712,311,6.2,2.7,10779,733,93.8,9.1,7943,757,69.1,4.6,2297,691,20,5.9,63,57,0.5,0.5,272,142,2.4,1.2,0,20,0,0.2,0,20,0,0.2,204,132,1.8,1.1,272,143,2.4,1.2,267,145,2.3,1.3,,,,,0.475656251503428,0.00590746057408188
1205,13153021105,No,Middle Georgia,2428,Tract,"Census Tract 211.05, Houston County",6596,785,556,392,8.4,5.9,6040,783,91.6,4.7,3311,495,50.2,4.5,2275,490,34.5,6.2,63,73,1,1.1,127,379,1.9,5.7,0,18,0,0.3,47,77,0.7,1.2,217,141,3.3,2.1,127,379,1.9,5.7,327,176,5,2.6,,,,,0.205760988874638,0.000942459152312455
1206,13153021107,No,Middle Georgia,2429,Tract,"Census Tract 211.07, Houston County",8586,896,740,275,8.6,3.1,7846,866,91.4,3.3,5108,675,59.5,4.8,2537,647,29.5,6.9,0,18,0,0.2,33,48,0.4,0.6,0,18,0,0.2,85,84,1,1,83,86,1,1,33,51,0.4,0.6,168,122,2,1.4,,,,,0.176915316379002,0.00133326971416209
1207,13153021000,No,Middle Georgia,2425,Tract,"Census Tract 210, Houston County",6975,666,433,311,6.2,4.4,6542,701,93.8,4.6,4215,589,60.4,6.2,1570,624,22.5,8.7,0,18,0,0.3,286,196,4.1,2.8,0,18,0,0.3,0,18,0,0.3,471,255,6.8,3.6,286,197,4.1,2.8,471,256,6.8,3.6,,,,,0.114995005346428,0.000540552825568713
1208,13153020700,No,Middle Georgia,2422,Tract,"Census Tract 207, Houston County",3415,604,117,74,3.4,2.1,3298,606,96.6,4.8,979,185,28.7,1.9,2115,637,61.9,15.1,0,13,0,0.4,56,51,1.6,1.5,0,13,0,0.4,28,39,0.8,1.1,120,85,3.5,2.4,56,53,1.6,1.5,148,94,4.3,2.7,,,,,0.117985893459194,0.00043447003866001
1209,13153020600,No,Middle Georgia,2421,Tract,"Census Tract 206, Houston County",1307,205,109,47,8.3,3.3,1198,198,91.7,4.8,881,169,67.4,7.4,198,83,15.1,5.9,9,13,0.7,1,34,32,2.6,2.4,0,13,0,1,0,13,0,1,76,55,5.8,4.1,34,35,2.6,2.6,85,58,6.5,4.3,,,,,0.421470942051315,0.00456934073854942
1210,13121011421,Yes,Atlanta Regional Commission,2135,Tract,"Census Tract 114.21, Fulton County",4451,415,1425,393,32,8.3,3026,392,68,6.1,1284,270,28.8,5.4,1281,295,28.8,6.1,0,13,0,0.3,312,205,7,4.6,0,13,0,0.3,13,19,0.3,0.4,136,94,3.1,2.1,312,205,7,4.6,149,97,3.3,2.2,,,,,0.0976105841366785,0.000384627538039463
1211,13121011416,Yes,Atlanta Regional Commission,2130,Tract,"Census Tract 114.16, Fulton County",5344,438,219,168,4.1,3.1,5125,448,95.9,2.9,4062,358,76,2.5,500,373,9.4,6.9,12,18,0.2,0.3,375,119,7,2.2,0,18,0,0.3,0,18,0,0.3,176,180,3.3,3.4,375,120,7,2.2,188,182,3.5,3.4,,,,,0.143042495684288,0.000650057890488577
1212,13121011506,Yes,Atlanta Regional Commission,2145,Tract,"Census Tract 115.06, Fulton County",5937,372,98,89,1.7,1.5,5839,372,98.3,1.1,5467,407,92.1,3.7,81,75,1.4,1.3,0,18,0,0.3,92,69,1.5,1.2,3,5,0.1,0.1,0,18,0,0.3,196,183,3.3,3.1,95,69,1.6,1.2,196,185,3.3,3.1,,,,,0.143100411859234,0.00111434183158023
1213,13121011417,Yes,Atlanta Regional Commission,2131,Tract,"Census Tract 114.17, Fulton County",5147,324,419,221,8.1,4.3,4728,376,91.9,4.5,3887,379,75.5,5.6,289,201,5.6,3.9,29,34,0.6,0.7,283,162,5.5,3.1,0,18,0,0.3,0,18,0,0.3,240,229,4.7,4.4,283,163,5.5,3.1,269,232,5.2,4.5,,,,,0.153404160006774,0.000744146636129338
1214,13121007001,Yes,Atlanta Regional Commission,2023,Tract,"Census Tract 70.01, Fulton County",4797,610,205,262,4.3,5.4,4592,576,95.7,17.1,96,66,2,1.4,4494,591,93.7,3.1,1,3,0,0.1,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,1,3,0,0.1,0,18,0,0.4,2,14,0,0.3,,,,,0.104945739011858,0.000443684590988083
1215,13121006700,Yes,Atlanta Regional Commission,2019,Tract,"Census Tract 67, Fulton County",4051,508,32,36,0.8,0.9,4019,509,99.2,1.8,167,113,4.1,2.7,3810,537,94.1,6.1,0,13,0,0.3,6,10,0.1,0.2,0,13,0,0.3,24,42,0.6,1,12,19,0.3,0.5,6,16,0.1,0.4,36,48,0.9,1.2,,,,,0.108801029900644,0.000331827992687019
1216,13121006300,Yes,Atlanta Regional Commission,2014,Tract,"Census Tract 63, Fulton County",1384,224,0,13,0,0.9,1384,224,100,0,94,84,6.8,6,1277,233,92.3,7.8,0,13,0,0.9,13,21,0.9,1.5,0,13,0,0.9,0,13,0,0.9,0,13,0,0.9,13,25,0.9,1.8,0,23,0,1.6,,,,,0.0542481476079165,0.000128964134640899
1217,13121005700,Yes,Atlanta Regional Commission,2009,Tract,"Census Tract 57, Fulton County",1708,244,29,24,1.7,1.4,1679,241,98.3,1.4,33,45,1.9,2.6,1596,234,93.4,3.1,0,13,0,0.8,5,8,0.3,0.5,0,13,0,0.8,0,13,0,0.8,45,63,2.6,3.7,5,15,0.3,0.9,45,66,2.6,3.8,,,,,0.0469300458060218,8.09668259210199e-05
1218,13121006500,Yes,Atlanta Regional Commission,2016,Tract,"Census Tract 65, Fulton County",4726,567,101,103,2.1,2.2,4625,571,97.9,2.9,707,193,15,3.7,3651,593,77.3,8.5,8,13,0.2,0.3,0,13,0,0.3,0,13,0,0.3,5,9,0.1,0.2,254,196,5.4,4.1,0,18,0,0.4,267,197,5.6,4.1,,,,,0.0886332870538393,0.000319051250246529
1219,13121005501,Yes,Atlanta Regional Commission,2007,Tract,"Census Tract 55.01, Fulton County",2298,303,131,76,5.7,3.2,2167,313,94.3,5.6,408,105,17.8,3.9,1662,308,72.3,9.4,0,13,0,0.6,73,38,3.2,1.6,0,13,0,0.6,0,13,0,0.6,24,23,1,1,73,40,3.2,1.7,24,29,1,1.3,,,,,0.0468906604392422,0.000116031509135424
1220,13121004900,Yes,Atlanta Regional Commission,2003,Tract,"Census Tract 49, Fulton County",2565,346,141,110,5.5,4.2,2424,333,94.5,2.5,1432,247,55.8,6,862,240,33.6,8.2,4,7,0.2,0.3,37,38,1.4,1.5,0,13,0,0.5,11,17,0.4,0.7,78,58,3,2.2,37,40,1.4,1.6,93,61,3.6,2.3,,,,,0.0519588132321629,0.000106443029569354
1221,13121004800,Yes,Atlanta Regional Commission,2002,Tract,"Census Tract 48, Fulton County",1158,187,46,40,4,3.4,1112,189,96,5.1,221,107,19.1,8.7,743,171,64.2,10.5,0,13,0,1.1,125,111,10.8,9.4,0,13,0,1.1,0,13,0,1.1,23,24,2,2,125,112,10.8,9.5,23,30,2,2.6,,,,,0.0276726938733774,3.82507445639117e-05
1222,13121002800,Yes,Atlanta Regional Commission,1987,Tract,"Census Tract 28, Fulton County",5005,305,367,88,7.3,1.7,4638,306,92.7,2.3,1395,175,27.9,3.1,2743,310,54.8,5.2,10,20,0.2,0.4,361,122,7.2,2.4,0,18,0,0.4,4,7,0.1,0.1,125,75,2.5,1.5,361,123,7.2,2.4,139,78,2.8,1.5,,,,,0.0347844852819874,7.27959120756904e-05
1223,13153020400,No,Middle Georgia,2420,Tract,"Census Tract 204, Houston County",2498,393,32,42,1.3,1.7,2466,384,98.7,21.9,756,266,30.3,9.5,1497,329,59.9,9.2,0,13,0,0.5,153,142,6.1,5.6,0,13,0,0.5,0,13,0,0.5,60,75,2.4,3,153,143,6.1,5.6,60,77,2.4,3.1,,,,,0.0900653283858712,0.000381119506426674
1224,13153020300,No,Middle Georgia,2419,Tract,"Census Tract 203, Houston County",6659,624,426,374,6.4,5.6,6233,632,93.6,3.6,1400,355,21,5,4700,559,70.6,5.2,17,33,0.3,0.5,42,59,0.6,0.9,0,18,0,0.3,0,18,0,0.3,74,81,1.1,1.2,42,62,0.6,0.9,91,89,1.4,1.3,,,,,0.103324328453765,0.000534374648785545
1225,13153020200,No,Middle Georgia,2418,Tract,"Census Tract 202, Houston County",5552,573,394,264,7.1,4.7,5158,543,92.9,1.9,3095,561,55.7,8.3,1965,473,35.4,7.7,43,59,0.8,1.1,0,18,0,0.3,0,18,0,0.3,0,18,0,0.3,55,54,1,1,0,25,0,0.5,98,82,1.8,1.5,,,,,0.115274035932704,0.000520540247979514
1226,13153021400,No,Middle Georgia,2435,Tract,"Census Tract 214, Houston County",9092,676,294,171,3.2,1.9,8798,732,96.8,3.6,5807,542,63.9,3.6,2405,559,26.5,5.8,69,104,0.8,1.1,80,73,0.9,0.8,0,18,0,0.2,0,18,0,0.2,437,422,4.8,4.6,80,75,0.9,0.8,506,435,5.6,4.8,,,,,0.350002799979235,0.00699382783167356
1227,13153021300,No,Middle Georgia,2434,Tract,"Census Tract 213, Houston County",4357,505,99,122,2.3,2.8,4258,488,97.7,15.9,2072,332,47.6,5.3,1909,479,43.8,9.8,0,13,0,0.3,150,151,3.4,3.4,0,13,0,0.3,0,13,0,0.3,127,101,2.9,2.3,150,152,3.4,3.5,127,103,2.9,2.3,,,,,0.59668052087489,0.00767900804165561
1228,13153021500,No,Middle Georgia,2436,Tract,"Census Tract 215, Houston County",4098,480,61,55,1.5,1.3,4037,487,98.5,2.8,3128,400,76.3,3.9,797,364,19.4,8.6,8,14,0.2,0.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,104,80,2.5,1.9,0,18,0,0.4,112,82,2.7,2,,,,,1.20821826658003,0.0485216275230042
1229,13227050600,No,Northwest Georgia,2704,Tract,"Census Tract 506, Pickens County",5786,543,83,95,1.4,1.6,5703,546,98.6,1.9,5463,559,94.4,3.9,3,5,0.1,0.1,0,18,0,0.3,42,43,0.7,0.7,0,18,0,0.3,0,18,0,0.3,195,112,3.4,1.9,42,47,0.7,0.8,195,115,3.4,2,,,,,0.51217943241863,0.0101711699982737
1230,13227050400,No,Northwest Georgia,2702,Tract,"Census Tract 504, Pickens County",3687,348,0,13,0,0.4,3687,348,100,0,3509,356,95.2,3.5,27,22,0.7,0.6,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,151,84,4.1,2.2,0,18,0,0.5,151,86,4.1,2.3,,,,,0.641299278785156,0.0124532543778277
1231,13227050300,No,Northwest Georgia,2701,Tract,"Census Tract 503, Pickens County",4441,343,88,120,2,2.7,4353,339,98,1,4224,373,95.1,4.1,0,13,0,0.3,15,19,0.3,0.4,44,70,1,1.6,0,13,0,0.3,0,13,0,0.3,70,65,1.6,1.5,44,71,1,1.6,85,69,1.9,1.5,,,,,0.619853231742553,0.0110885285466522
1232,13227050200,No,Northwest Georgia,2700,Tract,"Census Tract 502, Pickens County",6322,536,483,236,7.6,3.7,5839,545,92.4,3.6,5536,539,87.6,4.2,105,63,1.7,1,0,18,0,0.3,64,45,1,0.7,0,18,0,0.3,0,18,0,0.3,134,85,2.1,1.3,64,48,1,0.8,134,89,2.1,1.4,,,,,0.36444329207552,0.00482070622309911
1233,13227050500,No,Northwest Georgia,2703,Tract,"Census Tract 505, Pickens County",4663,403,141,129,3,2.8,4522,434,97,4,4428,441,95,4.7,3,5,0.1,0.1,0,13,0,0.3,14,29,0.3,0.6,3,5,0.1,0.1,0,13,0,0.3,74,56,1.6,1.2,17,29,0.4,0.6,74,59,1.6,1.3,,,,,0.548714935226986,0.0107411516681036
1234,13227050100,No,Northwest Georgia,2699,Tract,"Census Tract 501, Pickens County",5444,500,128,124,2.4,2.3,5316,492,97.6,1.1,5256,489,96.5,1.4,10,17,0.2,0.3,0,18,0,0.3,0,18,0,0.3,7,12,0.1,0.2,0,18,0,0.3,43,41,0.8,0.7,7,22,0.1,0.4,43,48,0.8,0.9,,,,,0.633393595121903,0.00986069554855803
1235,13307960200,No,River Valley,2967,Tract,"Census Tract 9602, Webster County",1297,145,0,13,0,1,1297,145,100,0,570,147,43.9,10.2,708,182,54.6,12.6,2,5,0.2,0.4,0,13,0,1,0,13,0,1,0,13,0,1,17,16,1.3,1.2,0,18,0,1.4,19,21,1.5,1.6,,,,,0.789100085856143,0.0266281759678975
1236,13307960100,No,River Valley,2966,Tract,"Census Tract 9601, Webster County",1330,145,54,61,4.1,4.6,1276,152,95.9,4.6,701,146,52.7,9.4,575,159,43.2,11,0,13,0,1,0,13,0,1,0,13,0,1,0,13,0,1,0,13,0,1,0,18,0,1.4,0,23,0,1.7,,,,,0.986067671918481,0.0253712630762745
1237,13121011419,Yes,Atlanta Regional Commission,2133,Tract,"Census Tract 114.19, Fulton County",5427,349,298,183,5.5,3.4,5129,376,94.5,3.3,4137,396,76.2,5.4,513,192,9.5,3.5,65,99,1.2,1.8,270,92,5,1.7,0,18,0,0.3,0,18,0,0.3,144,150,2.7,2.8,270,94,5,1.7,209,181,3.9,3.3,,,,,0.144984153240288,0.000675032449259362
1238,13121011503,Yes,Atlanta Regional Commission,2142,Tract,"Census Tract 115.03, Fulton County",10811,541,495,132,4.6,1.2,10316,533,95.4,1.2,8517,512,78.8,2.6,707,378,6.5,3.5,0,20,0,0.2,630,264,5.8,2.4,27,30,0.2,0.3,56,77,0.5,0.7,379,301,3.5,2.8,657,266,6.1,2.4,435,311,4,2.9,,,,,0.336236582074876,0.00303607725102226
1239,13121011615,Yes,Atlanta Regional Commission,2151,Tract,"Census Tract 116.15, Fulton County",10427,501,462,252,4.4,2.4,9965,550,95.6,2.6,7625,545,73.1,3.9,915,289,8.8,2.7,8,13,0.1,0.1,1062,324,10.2,3.1,0,20,0,0.2,165,218,1.6,2.1,190,138,1.8,1.3,1062,325,10.2,3.1,363,258,3.5,2.5,,,,,0.250320538804943,0.00201066864527045
1240,13121011504,Yes,Atlanta Regional Commission,2143,Tract,"Census Tract 115.04, Fulton County",13253,707,488,221,3.7,1.7,12765,705,96.3,1.4,11778,681,88.9,2,378,175,2.9,1.3,0,20,0,0.2,504,226,3.8,1.7,0,20,0,0.2,0,20,0,0.2,105,99,0.8,0.7,504,227,3.8,1.7,105,103,0.8,0.8,,,,,0.33424017386288,0.00581067718624907
1241,13121010515,Yes,Atlanta Regional Commission,2111,Tract,"Census Tract 105.15, Fulton County",5553,595,257,159,4.6,2.8,5296,631,95.4,5,585,161,10.5,2.7,4670,617,84.1,6.5,0,18,0,0.3,30,48,0.5,0.9,0,18,0,0.3,0,18,0,0.3,11,17,0.2,0.3,30,51,0.5,0.9,11,31,0.2,0.6,,,,,0.166678827753197,0.00110168146748982
1242,13121010516,Yes,Atlanta Regional Commission,2112,Tract,"Census Tract 105.16, Fulton County",9424,1088,314,191,3.3,2,9110,1104,96.7,3.6,194,185,2.1,1.9,8540,1227,90.6,7.8,0,18,0,0.2,13,21,0.1,0.2,0,18,0,0.2,26,39,0.3,0.4,337,437,3.6,4.6,13,28,0.1,0.3,363,439,3.9,4.6,,,,,0.117842863293148,0.000816975417168547
1243,13121010120,Yes,Atlanta Regional Commission,2088,Tract,"Census Tract 101.20, Fulton County",2486,213,360,190,14.5,7.5,2126,234,85.5,5.9,1379,229,55.5,7.9,557,236,22.4,9.3,13,21,0.5,0.8,163,118,6.6,4.7,0,13,0,0.5,0,13,0,0.5,14,23,0.6,0.9,163,119,6.6,4.7,27,34,1.1,1.4,,,,,0.0634992390763925,0.000105869850604908
1244,13121010117,Yes,Atlanta Regional Commission,2085,Tract,"Census Tract 101.17, Fulton County",3969,349,602,295,15.2,7.3,3367,357,84.8,5,1065,254,26.8,5.9,1794,360,45.2,8.2,40,41,1,1,292,148,7.4,3.7,0,13,0,0.3,42,72,1.1,1.8,134,95,3.4,2.4,292,149,7.4,3.7,216,126,5.4,3.1,,,,,0.045874370433163,0.000133270733667975
1245,13121001800,Yes,Atlanta Regional Commission,1980,Tract,"Census Tract 18, Fulton County",4336,428,137,73,3.2,1.7,4199,425,96.8,2.2,1894,264,43.7,4.3,1997,387,46.1,7.7,0,13,0,0.3,281,153,6.5,3.5,0,13,0,0.3,0,13,0,0.3,27,32,0.6,0.7,281,154,6.5,3.5,27,37,0.6,0.8,,,,,0.0402005441101608,8.9242938999562e-05
1246,13121001300,Yes,Atlanta Regional Commission,1975,Tract,"Census Tract 13, Fulton County",4655,567,433,280,9.3,5.9,4222,572,90.7,5.4,2728,328,58.6,10,1088,423,23.4,8.6,0,13,0,0.3,268,249,5.8,5.3,0,13,0,0.3,31,50,0.7,1.1,107,80,2.3,1.7,268,249,5.8,5.3,138,95,3,2,,,,,0.0458560060172041,0.000128185230330564
1247,13121001900,Yes,Atlanta Regional Commission,1981,Tract,"Census Tract 19, Fulton County",5188,469,305,94,5.9,1.7,4883,475,94.1,3.4,2269,345,43.7,5.3,1600,364,30.8,6.4,5,9,0.1,0.2,848,187,16.3,3.3,10,20,0.2,0.4,0,18,0,0.3,151,65,2.9,1.2,858,188,16.5,3.3,156,68,3,1.3,,,,,0.0461395533992609,9.69592783048593e-05
1248,13121002100,Yes,Atlanta Regional Commission,1982,Tract,"Census Tract 21, Fulton County",2640,342,93,68,3.5,2.5,2547,344,96.5,3.7,740,215,28,7.3,1575,336,59.7,10.1,0,13,0,0.5,214,121,8.1,4.5,0,13,0,0.5,0,13,0,0.5,18,25,0.7,0.9,214,122,8.1,4.5,18,31,0.7,1.2,,,,,0.0431092349045566,7.86284991311683e-05
1249,13121004400,Yes,Atlanta Regional Commission,2001,Tract,"Census Tract 44, Fulton County",2516,437,58,91,2.3,3.6,2458,435,97.7,3.3,43,43,1.7,1.7,2353,444,93.5,6.9,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,62,55,2.5,2.1,0,18,0,0.7,62,58,2.5,2.3,,,,,0.03894531638257,8.04875526374812e-05
